AREA_A,AREA_B,DIST_KM
E09000008,E07000007,60.193
E09000006,E07000007,67.604
E09000018,E07000007,37.06
E09000009,E07000007,36.394
E09000016,E07000007,72.372
E09000017,E07000007,28.269
E09000015,E07000007,33.311
E09000005,E07000007,39.236
E09000003,E07000007,42.057
E09000022,E07000007,52.991
E09000028,E07000007,54.949
E09000023,E07000007,59.489
E09000011,E07000007,63.426
E09000004,E07000007,69.628
E09000010,E07000007,50.374
E09000031,E07000007,55.91
E09000026,E07000007,62.11
E09000029,E07000007,54.582
E09000027,E07000007,41.757
E09000024,E07000007,50.463
E09000032,E07000007,48.828
E09000013,E07000007,44.632
E09000020,E07000007,46.213
E09000033,E07000007,47.823
E09000007,E07000007,46.984
E09000030,E07000007,56.094
E09000019,E07000007,50.107
E09000012,E07000007,53.192
E09000014,E07000007,49.443
E09000025,E07000007,60.637
E09000002,E07000007,66.74
E09000001,E07000007,52.286
E08000016,E07000007,215.427
E08000025,E07000007,118.284
E08000001,E07000007,242.006
E08000032,E07000007,254.105
E08000002,E07000007,238.28
E08000033,E07000007,243.418
E08000031,E07000007,137.566
E08000026,E07000007,98.118
E08000017,E07000007,211.674
E08000027,E07000007,128.298
E08000037,E07000007,370.14
E08000034,E07000007,229.211
E08000011,E07000007,240.346
E08000035,E07000007,246.578
E08000012,E07000007,240.956
E08000003,E07000007,222.318
E08000021,E07000007,377.831
E08000022,E07000007,378.808
E08000004,E07000007,227.588
E08000005,E07000007,236.956
E08000018,E07000007,198.311
E08000006,E07000007,230.242
E08000028,E07000007,126.391
E08000014,E07000007,260.055
E08000019,E07000007,201.519
E08000029,E07000007,105.515
E08000023,E07000007,371.109
E08000007,E07000007,213.544
E08000013,E07000007,239.341
E08000024,E07000007,361.983
E08000008,E07000007,220.251
E08000009,E07000007,222.86
E08000036,E07000007,227.373
E08000030,E07000007,131.824
E08000010,E07000007,240.714
E08000015,E07000007,245.94
W06000011,E07000007,224.609
S12000041,E07000007,581.003
E06000022,E07000007,119.748
E06000055,E07000007,64.412
E06000008,E07000007,253.272
E06000009,E07000007,283.99
W06000019,E07000007,164.872
E06000028,E07000007,124.46
E06000036,E07000007,27.322
W06000014,E07000007,180.609
W06000018,E07000007,165.325
W06000022,E07000007,148.883
W06000012,E07000007,202.548
E06000056,E07000007,47.571
E06000049,E07000007,199.745
E06000050,E07000007,216.368
E06000023,E07000007,137.34
E06000015,E07000007,147.424
E06000010,E07000007,237.048
E06000016,E07000007,112.05
E06000018,E07000007,147.942
E06000031,E07000007,113.448
E06000045,E07000007,91.035
E06000021,E07000007,177.861
S12000005,E07000007,536.378
W06000003,E07000007,258.901
E06000047,E07000007,345.745
E06000019,E07000007,142.127
E06000005,E07000007,326.326
S12000042,E07000007,555.324
S12000008,E07000007,485.501
S12000045,E07000007,529.082
S12000011,E07000007,512.936
E06000011,E07000007,247.847
S12000014,E07000007,521.822
S12000046,E07000007,520.115
E06000006,E07000007,228.528
E06000001,E07000007,337.257
S12000018,E07000007,539.408
E06000032,E07000007,38.288
E06000035,E07000007,99.225
W06000024,E07000007,176.254
E06000002,E07000007,323.037
S12000019,E07000007,489.343
E06000042,E07000007,48.67
E06000012,E07000007,215.808
S12000044,E07000007,513.395
E06000013,E07000007,216.875
W06000013,E07000007,193.175
S12000024,E07000007,581.079
E06000029,E07000007,129.122
W06000023,E07000007,193.329
E06000038,E07000007,24.758
E06000003,E07000007,323.423
S12000038,E07000007,527.723
W06000016,E07000007,181.288
E06000017,E07000007,113.057
S12000026,E07000007,455.956
E06000051,E07000007,171.06
W06000004,E07000007,235.846
W06000010,E07000007,232.668
W06000005,E07000007,236.47
E06000039,E07000007,22.297
E06000033,E07000007,107.691
E06000025,E07000007,115.217
S12000029,E07000007,483.318
S12000030,E07000007,561.007
E06000004,E07000007,325.957
E06000030,E07000007,64.88
E06000020,E07000007,165.966
E06000043,E07000007,101.483
E06000034,E07000007,83.891
W06000020,E07000007,154.866
E06000027,E07000007,232.985
E06000007,E07000007,227.911
E06000037,E07000007,40.539
S12000039,E07000007,540.334
S12000040,E07000007,505.049
E06000054,E07000007,87.672
E06000040,E07000007,19.88
E06000041,E07000007,24.905
W06000006,E07000007,211.629
E06000014,E07000007,257.466
E07000144,E07000007,186.662
E07000147,E07000007,190.351
E07000044,E07000007,254.209
E07000046,E07000007,254.202
E06000046,E07000007,113.342
W06000001,E07000007,302.616
W06000002,E07000007,259.086
W06000015,E07000007,165.956
